OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
5,ryan,OH,6.25,Wood,10,5.15,4.75,51.50,47.50,6.187500,105.187500
